Company Name,Location,Internship Role,Stipend (INR),Duration
IBM,Pondicherry,Cybersecurity Intern,25000,2 Months
Google,Bangalore,Data Analyst Intern,12000,1 Month
Intel,Chennai,Cloud Computing Intern,10000,1 Month
PayPal,Pondicherry,Electronics Design Intern,8000,3 Months
Zoho,Chennai,Cybersecurity Intern,15000,4 Months
Zoho,Chennai,Cloud Computing Intern,8000,6 Months
PayPal,Coimbatore,Software Developer Intern,25000,2 Months
Qualcomm,Bangalore,AI Research Intern,5000,2 Months
Intel,Chennai,Web Developer Intern,15000,3 Months
Accenture,Pondicherry,Web Developer Intern,25000,1 Month
Dell,Chennai,Web Developer Intern,12000,6 Months
Bosch,Bangalore,DevOps Intern,25000,6 Months
Capgemini,Chennai,AI Research Intern,20000,2 Months
Accenture,Coimbatore,Data Analyst Intern,8000,4 Months
Nokia,Chennai,DevOps Intern,5000,1 Month
Tech Mahindra,Chennai,Data Analyst Intern,10000,2 Months
Cognizant,Chennai,Cloud Computing Intern,15000,6 Months
